run,iteration,param_1,param_2,param_3,param_4,param_5,param_6,fitness,run_time_sec
1,1,1.0366154483489782,2.9862068263221424,4.001597546644872,0.066875837565473,1.075226579550931,9.073900167388814,212.13203435596427,
1,2,2.7380542824220493,2.6334991140939192,5.274733378297267,0.9663646315342291,0.25245381524347366,7.274733378297267,212.13203435596427,
1,3,2.8801103371785364,2.5021744559345267,5.1016350074912316,0.026425968097334884,1.1922153639145494,8.734205005126089,212.13203435596427,
1,4,1.4031124677368558,2.525679576422288,4.094066658498875,0.9234485255941228,1.1974206016041722,5.060413056088462,212.13203435596427,
1,5,2.8606084882165703,2.9901067002525155,4.001658922575294,0.9464494625792685,0.39234053298327887,8.406005425183736,212.13203435596427,
1,6,1.0275925382125457,2.9983946367505974,5.290393161457991,0.859754848277815,0.9760434926320388,6.553333747157382,212.13203435596427,
1,7,2.9627983395062607,2.846036931129733,4.095417027033504,0.008263557786868492,1.104163282316584,5.069431411749149,212.13203435596427,
1,8,1.1597982194417007,2.5920038599950237,4.679613075471748,0.044010158484683704,0.2883068618128321,5.96304227877395,212.13203435596427,
1,9,1.0232410636523057,2.5677053536615793,4.702328599110629,0.968903553607816,0.6357483536984456,9.27605140460793,212.13203435596427,
1,10,2.7747373160816213,2.9122478561304375,5.02251739801714,0.05339730034779444,0.3186262909289611,9.257630917306267,212.13203435596427,
1,11,1.01121332948026,2.9933251482493697,5.1075894171146485,0.9127010182461921,0.2529151199844041,8.10758941711465,212.13203435596427,
1,12,2.919669865843331,2.508363875623241,4.058036805381265,0.8586894027165602,1.082623808366514,9.220746520889511,212.13203435596427,
1,13,2.9193299745290235,2.9429627539982928,5.206484489586633,0.00850891180544655,1.0952792013020622,6.206484489586633,212.13203435596427,
1,14,1.3007127566223247,2.5073900320805547,5.298120258651174,0.9739438798746671,0.3576381070252669,8.298120258651174,212.13203435596427,
1,15,1.0484354232715343,2.532428507616081,4.282064522650583,0.11239706068932032,1.2084982991353113,9.2131667945436,212.13203435596427,
1,16,2.956481935760678,2.985558622880735,4.005860167911737,0.7320689955251946,0.27319408404995565,5.4567605272914985,212.13203435596427,
1,17,1.2416372685358454,2.5171493576612254,4.011516189188575,0.05736586166226498,1.1373798000915014,5.295960667642388,212.13203435596427,
1,18,2.9628769359541502,2.546466502914868,4.135517745202076,0.7881411227017086,0.25501894784097634,9.273683256080112,212.13203435596427,
1,19,1.5251395182049958,2.993704666422763,5.271759104763453,0.11521989507247332,1.1190308731075647,8.985454078611202,212.13203435596427,
1,20,2.936872165640679,2.999346130827898,4.1928272778912765,0.8605937823345619,0.2568925316004783,5.402138031076163,212.13203435596427,25.084984064102173
2,1,1.0366154483489782,2.9862068263221424,4.001597546644872,0.066875837565473,1.075226579550931,9.073900167388814,212.13203435596427,
2,2,2.7380542824220493,2.6334991140939192,5.274733378297267,0.9663646315342291,0.25245381524347366,8.274733378297267,212.13203435596427,
2,3,2.8801103371785364,2.5021744559345267,5.1016350074912316,0.026425968097334884,1.1922153639145494,8.734205005126089,212.13203435596427,
2,4,1.4031124677368558,2.525679576422288,4.094066658498875,0.9234485255941228,1.1974206016041722,5.060413056088462,212.13203435596427,
2,5,2.8606084882165703,2.9901067002525155,4.001658922575294,0.9464494625792685,0.39234053298327887,8.406005425183736,212.13203435596427,
2,6,1.0275925382125457,2.9983946367505974,5.290393161457991,0.859754848277815,0.9760434926320388,6.553333747157382,212.13203435596427,
2,7,2.9627983395062607,2.846036931129733,4.095417027033504,0.008263557786868492,1.104163282316584,5.069431411749149,212.13203435596427,
2,8,1.1597982194417007,2.5920038599950237,4.679613075471748,0.044010158484683704,0.2883068618128321,5.96304227877395,212.13203435596427,
2,9,1.0232410636523057,2.5677053536615793,4.702328599110629,0.968903553607816,0.6357483536984456,9.27605140460793,212.13203435596427,
2,10,2.7747373160816213,2.9122478561304375,5.02251739801714,0.05339730034779444,0.3186262909289611,9.257630917306267,212.13203435596427,
2,11,1.01121332948026,2.9933251482493697,5.1075894171146485,0.9127010182461921,0.2529151199844041,6.1075894171146485,212.13203435596427,
2,12,2.919669865843331,2.508363875623241,4.058036805381265,0.8586894027165602,1.082623808366514,9.220746520889511,212.13203435596427,
2,13,2.9193299745290235,2.9429627539982928,5.206484489586633,0.00850891180544655,1.0952792013020622,7.206484489586633,212.13203435596427,
2,14,1.3007127566223247,2.5073900320805547,5.298120258651174,0.9739438798746671,0.3576381070252669,7.298120258651174,212.13203435596427,
2,15,1.0484354232715343,2.532428507616081,4.282064522650583,0.11239706068932032,1.2084982991353113,9.2131667945436,212.13203435596427,
2,16,2.956481935760678,2.985558622880735,4.005860167911737,0.7320689955251946,0.27319408404995565,5.4567605272914985,212.13203435596427,
2,17,1.2416372685358454,2.5171493576612254,4.011516189188575,0.05736586166226498,1.1373798000915014,5.295960667642388,212.13203435596427,
2,18,2.9628769359541502,2.546466502914868,4.135517745202076,0.7881411227017086,0.25501894784097634,9.273683256080112,212.13203435596427,
2,19,1.5251395182049958,2.993704666422763,5.271759104763453,0.11521989507247332,1.1190308731075647,8.985454078611202,212.13203435596427,
2,20,2.936872165640679,2.999346130827898,4.1928272778912765,0.8605937823345619,0.2568925316004783,5.402138031076163,212.13203435596427,25.63640785217285
