_id,_x,_y,_type
202556079,-85.1548888,35.0421493,priority
202556079,-85.1548888,35.0421493,traffic_light
202678527,-85.1540362,35.0417989,priority
202678527,-85.1540362,35.0417989,traffic_light
459314290,-85.1528525,35.0451888,priority
202568610,-85.1569073,35.0428949,priority
202568610,-85.1569073,35.0428949,traffic_light
202648848,-85.1572817,35.0430155,priority
202568603,-85.1586195,35.0401373,priority
202568614,-85.1531288,35.0452933,priority
202626202,-85.1581401,35.0433169,priority
202626202,-85.1581401,35.0433169,traffic_light
6715014168,-85.1583549,35.0433962,priority
7169022636,-85.1573438,35.0440952,priority
3583810132,-85.1610089,35.0425941,priority
7830952583,-85.1588082,35.0418117,priority
7043231282,-85.153693,35.0416725,priority
7043231275,-85.154462,35.0410986,priority
7210975134,-85.1533069,35.0432473,priority
202698315,-85.1500137,35.0403425,priority
202698315,-85.1500137,35.0403425,traffic_light
7564605312,-85.1505936,35.0405545,priority
7564605307,-85.1497966,35.0407819,priority
202748867,-85.1518356,35.0369808,priority
202748867,-85.1518356,35.0369808,traffic_light
1717049910,-85.1459959,35.0388868,priority
1717049910,-85.1459959,35.0388868,traffic_light
459314276,-85.1594092,35.0391588,priority
1717049926,-85.1515495,35.0409027,priority
6715816106,-85.151645,35.0407298,priority
6715816100,-85.1520259,35.0410744,priority
7043048342,-85.1511623,35.0416339,priority
6715816102,-85.1521126,35.0408809,priority
7043231278,-85.1538072,35.0414628,priority
7564605313,-85.1505429,35.0407239,priority
