run,iteration,fitness,run_time_sec
1,1,12.63466669299185,
1,2,11.131701595477958,
1,3,16.695565724498234,
1,4,23.84018200247219,
1,5,16.781016848918114,
1,6,14.250783806361198,
1,7,11.300303764548756,
1,8,16.261778016053768,
1,9,24.751712144005467,
1,10,15.315510814112034,
1,11,13.344751168057693,
1,12,16.469567857394335,
1,13,11.202470470195921,
1,14,11.442542480191205,
1,15,14.035102102192829,
1,16,13.850285838441906,
1,17,14.155637559163496,
1,18,13.103513547020258,
1,19,12.195216440994901,
1,20,12.132356910803304,46.10193920135498
2,1,12.63466669299185,
2,2,11.131701595477958,
2,3,16.695565724498234,
2,4,23.84018200247219,
2,5,16.781016848918114,
2,6,14.250783806361198,
2,7,11.300303764548756,
2,8,16.261778016053768,
2,9,24.751712144005467,
2,10,15.315510814112034,
2,11,13.344751168057693,
2,12,16.469567857394335,
2,13,11.202470470195921,
2,14,11.442542480191205,
2,15,14.035102102192829,
2,16,13.850285838441906,
2,17,14.155637559163496,
2,18,13.103513547020258,
2,19,12.195216440994901,
2,20,12.132356910803304,44.520713090896606
